Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
6,"System.Runtime.InteropServices.Marshal.AllocHGlobal(int32)",20,0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
6,"System.IntPtr.op_Explicit(native int)",20,0.00,0.00,0.00,0.00,"System.Runtime.dll",
5,"MemoryProtection.MemoryProtection.Cryptography.ScryptProtected.ScryptHashFunction.Free()",20,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
6,"System.Runtime.InteropServices.Marshal.FreeHGlobal(native int)",20,0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
4,"System.Convert.ToBase64String(uint8[])",20,0.00,0.00,0.01,0.01,"System.Runtime.Extensions.dll",
4,"System.Runtime.InteropServices.Marshal.Copy(native int,uint8[],int32,int32)",20,0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
4,"System.Runtime.InteropServices.Marshal.FreeHGlobal(native int)",20,0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
4,"System.Runtime.InteropServices.Marshal.Copy(uint8[],int32,native int,int32)",20,0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
3,"MemoryProtection.MemoryProtection.ProtectedMemory.Allocate(int32)",1,0.00,0.00,4.54,1.84,"MemoryProtection.dll",
4,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory..ctor(int32)",1,0.00,0.00,2.59,1.04,"MemoryProtection.dll",
5,"MemoryProtection.MemoryProtection.ProtectedMemory.Protect()",1,0.00,0.00,1.23,0.25,"MemoryProtection.dll",
6,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.Protect()",1,0.00,0.00,0.97,0.01,"MemoryProtection.dll",
7,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.CryptProtectMemory(native int,uint32,uint32)",1,0.00,0.00,0.97,0.97,"MemoryProtection.dll",
5,"System.Runtime.InteropServices.Marshal.AllocHGlobal(int32)",1,0.00,0.00,0.32,0.32,"System.Runtime.InteropServices.dll",
5,"System.Math.Ceiling(float64)",1,0.00,0.00,0.00,0.00,"System.Runtime.Extensions.dll",
4,"System.Runtime.InteropServices.RuntimeInformation.IsOSPlatform(valuetype System.Runtime.InteropServices.OSPlatform)",1,0.00,0.00,0.07,0.07,"System.Runtime.InteropServices.RuntimeInformation.dll",
4,"System.Runtime.InteropServices.OSPlatform.get_Windows()",1,0.00,0.00,0.04,0.04,"System.Runtime.InteropServices.RuntimeInformation.dll",
3,"System.Console.WriteLine(string)",3,0.00,0.00,1.48,1.48,"System.Console.dll",
